pallet_id,length_cm,width_cm,height_cm,type
2322125,50.2,44.6,30.3,2
2322125,39.5,26.5,34,2
2322125,27,37,33,2
2322125,39.5,26.5,34,2
2322125,20.9,15,17.9,2
2322125,25,18.7,15.8,2
2322125,25,18.7,15.8,2
2322125,20,13.1,11.6,2
2322125,25,18.7,15.8,2
2322125,42.8,29.7,14.7,2
2322125,25,18.7,15.8,2
2322125,15.2,12,16.8,2
2322125,42.8,29.7,14.7,2
2322125,33,13.7,17.7,2
2322125,27,37,33,2
2322125,39.5,26.5,34,2
2322125,27,37,33,2
2322125,39.5,26.5,34,2
2322125,25,18.7,15.8,2
2322125,25,18.7,15.8,2
2322125,30.2,20.7,9.1,2
2322125,25,18.7,15.8,2
2322125,52.8,27.3,15.3,2
2322125,39.5,26.5,34,2
2322125,25,18.7,15.8,2
2322125,25,18.7,15.8,2
2322125,25,18.7,15.8,2
2322125,25,18.7,15.8,2
2322125,39.5,26.5,34,2
2322125,25,18.7,15.8,2
2322125,39.5,26.5,34,2
2322125,39.8,24.6,26.7,2
2322125,19.2,14,13,2
2322125,50,30,28,0
2322125,50,30,18,0
2322125,50,30,28,0
2322125,45.5,27.5,25,1
2322125,50,30,18,0
2322125,50,30,28,0
2322125,50,30,18,0
2322125,45.5,27.5,25,1
2322067,50,30,28,0
2322067,45.5,27.5,18,1
2322067,45.5,27.5,18,1
2322067,45.5,27.5,18,1
2322067,19.3,13.8,11.6,2
2322067,45.5,27.5,18,1
2322067,45.5,27.5,25,1
2322067,45.5,27.5,25,1
2322067,50,30,28,0
2322067,50,30,28,0
2322067,45.5,27.5,18,1
2322067,50,30,18,0
2322067,45.5,27.5,25,1
2322067,50,30,28,0
2322067,45.5,27.5,18,1
2322067,50,30,18,0
2322067,50,30,28,0
2322067,50,30,28,0
2322067,50,30,18,0
2322067,50,30,28,0
2322067,50,30,18,0
2322067,50,30,28,0
2322067,50,30,18,0
2322067,45.5,27.5,18,1
2322067,45.5,27.5,25,1
2322067,50,30,28,0
2322067,45.5,27.5,25,1
2322067,40.4,27.2,33.7,2
2322067,40.4,26.8,33.6,2
2322067,27,37,33,2
2322067,50,30,18,0
2322067,50,30,28,0
2322067,50,30,28,0
2322067,38.9,29.2,17.9,2
2322067,50,30,18,0
2322067,38,28.1,23.4,2
2322067,33,13.7,17.7,2
2322067,50,30,28,0
2322067,45.5,27.5,25,1
2322067,45.5,27.5,25,1
2322067,21.5,15.8,13.4,2
2322067,45.5,27.5,25,1
2322067,45.5,27.5,25,1
2322067,36.2,24.2,16.5,2
2322067,14.5,12.5,23,2
2322067,21,16.7,21.7,2
2322067,21,16.6,21.8,2
2322067,20.6,16.3,21.9,2
2322067,14.5,12.5,23,2
2322067,21.1,14.8,17.7,2
2322067,20.6,16.3,21.9,2
2322067,27.4,18.4,20.2,2
2322067,20.8,17.1,21.7,2
2322067,20.8,17.1,21.7,2
2322067,16.2,14.3,17.7,2
2322067,21,16.6,21.8,2
2322067,20.6,16.3,21.9,2
2322067,27.4,18.4,20.2,2
2322067,21,16.6,21.8,2
2322067,21,16.8,21.8,2
2322067,20.8,17.1,21.7,2
2322067,50,30,28,0
2322067,21,16.8,21.8,2
2322067,40.7,30.9,20.2,2
2322067,21,16.8,21.8,2
2322067,50,30,28,0
2322067,50,30,28,0
2322067,50,30,28,0
2322067,20.6,16.3,21.9,2
2322067,50,30,28,0
2322067,45.5,27.5,25,1
2322067,45.5,27.5,25,1
2322067,45.5,27.5,18,1
2322067,45.5,27.5,25,1
2283053,45.5,27.5,25,1
2283053,45.5,27.5,25,1
2283053,45.5,27.5,25,1
2283053,45.5,27.5,25,1
2283053,45.5,27.5,25,1
2283053,45.5,27.5,18,1
2283053,45.5,27.5,25,1
2283053,45.5,27.5,25,1
2283053,45.5,27.5,25,1
2283053,45.5,27.5,18,1
2283053,45.5,27.5,25,1
2283053,45.5,27.5,18,1
2283053,45.5,27.5,18,1
2283053,21,16.7,21.7,2
2283053,50.3,35.6,26.9,2
2283053,45.5,27.5,25,1
2283053,45.5,27.5,18,1
2283053,50,30,18,0
2283053,45.5,27.5,18,1
2283053,45.5,27.5,25,1
2283053,50,30,18,0
2283053,45.5,27.5,25,1
2283053,45.5,27.5,25,1
2283053,50,30,28,0
2283053,50,30,28,0
2283053,45.5,27.5,25,1
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,18,0
2283053,50,30,28,0
2283053,50,30,18,0
2283053,50,30,18,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,18,0
2283053,50,30,18,0
2283053,50,30,18,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,18,0
2283053,50,30,28,0
2283053,50,30,18,0
2283053,50,30,18,0
2283053,50,30,18,0
2283053,50,30,18,0
2283053,50,30,18,0
2283053,50,30,28,0
2283053,25.9,22.9,22.9,2
2283053,20.6,16.3,21.9,2
2283053,50,30,28,0
2283053,21.5,15.8,13.4,2
2283053,24.1,17.6,21.6,2
2283053,24.2,14.8,7,2
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,28,0
2283053,50,30,18,0
2283053,50,30,28,0
2283053,21.5,15.8,13.4,2
2283053,34,20.9,16.6,2
2283053,50,30,18,0
2283053,20.6,15.8,21.3,2
2283053,50,30,18,0
2283053,50,30,28,0
2337062,50,30,28,0
2337062,20,14.8,13.1,2
2337062,52.2,23.1,26.9,2
2337062,45.5,27.5,18,1
2337062,30.2,23.2,19.3,2
2337062,45.5,27.5,18,1
2337062,50,30,18,0
2337062,50,30,28,0
2337062,30.2,23.2,19.3,2
2337062,25,18.7,15.8,2
